"","Group","exp","gene"
"1","non_responder",63.2389,"ADAMTS9-AS2"
"2","non_responder",65.5937,"ADAMTS9-AS2"
"3","non_responder",54.7564,"ADAMTS9-AS2"
"4","non_responder",99.8079,"ADAMTS9-AS2"
"5","non_responder",34.1649,"ADAMTS9-AS2"
"6","non_responder",55.5438,"ADAMTS9-AS2"
"7","non_responder",76.0364,"ADAMTS9-AS2"
"8","non_responder",76.7607,"ADAMTS9-AS2"
"9","non_responder",12.0577,"ADAMTS9-AS2"
"10","non_responder",82.3022,"ADAMTS9-AS2"
"11","non_responder",58.6364,"ADAMTS9-AS2"
"12","non_responder",76.2979,"ADAMTS9-AS2"
"13","non_responder",25.8933,"ADAMTS9-AS2"
"14","non_responder",83.3834,"ADAMTS9-AS2"
"15","non_responder",83.986,"ADAMTS9-AS2"
"16","non_responder",101.018,"ADAMTS9-AS2"
"17","non_responder",80.9236,"ADAMTS9-AS2"
"18","responder",40.443,"ADAMTS9-AS2"
"19","responder",18.7418,"ADAMTS9-AS2"
"20","responder",9.00638,"ADAMTS9-AS2"
"21","responder",5.79276,"ADAMTS9-AS2"
"22","responder",14.6584,"ADAMTS9-AS2"
"23","responder",18.7942,"ADAMTS9-AS2"
"24","responder",15.7326,"ADAMTS9-AS2"
"25","responder",3.3293,"ADAMTS9-AS2"
"26","responder",25.7292,"ADAMTS9-AS2"
"27","responder",53.9141,"ADAMTS9-AS2"
"28","responder",84.6341,"ADAMTS9-AS2"
"29","non_responder",66.8493,"MGC12916"
"30","non_responder",54.4382,"MGC12916"
"31","non_responder",22.4369,"MGC12916"
"32","non_responder",60.0044,"MGC12916"
"33","non_responder",17.2514,"MGC12916"
"34","non_responder",78.9037,"MGC12916"
"35","non_responder",12.1834,"MGC12916"
"36","non_responder",90.0416,"MGC12916"
"37","non_responder",14.087,"MGC12916"
"38","non_responder",45.3446,"MGC12916"
"39","non_responder",61.3177,"MGC12916"
"40","non_responder",60.2536,"MGC12916"
"41","non_responder",94.549,"MGC12916"
"42","non_responder",62.9486,"MGC12916"
"43","non_responder",41.3411,"MGC12916"
"44","non_responder",12.4369,"MGC12916"
"45","non_responder",99.1337,"MGC12916"
"46","responder",19.9334,"MGC12916"
"47","responder",38.8305,"MGC12916"
"48","responder",10.9218,"MGC12916"
"49","responder",8.57773,"MGC12916"
"50","responder",16.5705,"MGC12916"
"51","responder",71.2778,"MGC12916"
"52","responder",88.152,"MGC12916"
"53","responder",12.7639,"MGC12916"
"54","responder",61.8691,"MGC12916"
"55","responder",4.89107,"MGC12916"
"56","responder",7.02414,"MGC12916"
