"","logFC","AveExpr","t","P.Value","adj.P.Val","B","change"
"NGF",-1.80605476475273,4.48768427811715,-4.40144484710553,0.000130567737618734,0.0178877800537666,1.10227102386864,"DOWN"
"IL32",-1.51771918361695,5.83697904699128,-3.67808498085595,0.000939730112497276,0.0470492466240812,-0.700431294938187,"DOWN"
"RNASEL",0.769222241575122,10.1446855157075,3.64364269460565,0.00103027547352003,0.0470492466240812,-0.784032825351495,"NOT"
"OASL",-1.13476257110326,9.69027602673481,-3.1382249694744,0.00385346649472855,0.131981227444453,-1.97561699939219,"DOWN"
"MMP9",-1.07943937209783,10.1330525786955,-3.0355470535421,0.00499608326821579,0.136892681549113,-2.20809241263138,"DOWN"
"NOX5",-0.773305757889167,6.53070889779121,-2.91932054600028,0.00667655348085926,0.152447971146286,-2.46658531329715,"NOT"
"CHP2",1.5313818652637,5.68479166592614,2.81343795865569,0.00866060453702337,0.168763559907727,-2.69744231512139,"UP"
"FGFR2",0.77533519834577,10.3663854934067,2.71673666604513,0.0109450635886762,0.168763559907727,-2.90415280134823,"NOT"
"BMP4",1.48690598967287,4.34641992603184,2.58414927562361,0.0149999922573539,0.168763559907727,-3.18071642650813,"UP"
"CMTM8",0.523224071407733,8.01814917222917,2.55879023594668,0.0159191895504024,0.168763559907727,-3.23266352014197,"NOT"
"IL20RA",0.732504196677782,8.74550802359245,2.53814388026985,0.0167057258581542,0.168763559907727,-3.27472406785632,"NOT"
"PPARD",-0.392009719247588,12.023487328427,-2.51844362869866,0.0174895151430965,0.168763559907727,-3.31466005451135,"NOT"
"TNFRSF12A",-1.28875234168449,9.90334860741021,-2.51023857852319,0.0178258485300203,0.168763559907727,-3.33123587764676,"DOWN"
"IL12RB2",-1.08067852613425,6.97230641983332,-2.50433090760905,0.0180716881627601,0.168763559907727,-3.34314954603382,"DOWN"
"PROK1",-0.897984807511341,5.05964911123827,-2.49473284941946,0.0184777620336927,0.168763559907727,-3.36246777406026,"NOT"
"IL17RD",0.509775415992564,8.75532017954893,2.43719333382844,0.0210931988231486,0.178704609335871,-3.47728899421748,"NOT"
"WNT5A",0.655687866065614,12.2606762673766,2.38201313471955,0.0239157487611038,0.178704609335871,-3.58577350821848,"NOT"
"OSGIN1",1.14974455104148,5.61377460602804,2.3727869839096,0.0244199893232751,0.178704609335871,-3.60375323839095,"UP"
"MAP3K8",0.516158813950609,9.88108435488394,2.35612961547448,0.025354964847644,0.178704609335871,-3.63609785159499,"NOT"
"TNFRSF6B",-0.507372098186842,8.26657834487777,-2.33144402889738,0.0268005383357189,0.178704609335871,-3.68375220217983,"NOT"
"BECN1",0.342200491909901,11.5227604869243,2.30837358424382,0.0282187542373026,0.178704609335871,-3.72798398612049,"NOT"
"POMC",1.11287102038776,5.14640481846407,2.29948377963356,0.0287831507322657,0.178704609335871,-3.74494865783596,"UP"
"PAK5",1.34737872176763,4.91050480092423,2.2808191811691,0.030001503757117,0.178704609335871,-3.78042211434614,"UP"
"FGF19",0.92281569056324,4.66033391423564,2.18447018478643,0.0370624135988157,0.211564610959906,-3.96035845822827,"NOT"
"NR0B2",0.770299924510022,4.04167005076281,1.96553500142605,0.0588831571566128,0.310950650961596,-4.34834522254812,"NOT"
"BDNF",1.22973165718965,6.84629153825951,1.964468048441,0.0590125322992809,0.310950650961596,-4.35016158895938,"NOT"
"FGF13",0.93985255151326,8.17502067309215,1.89600783238519,0.0678489100720857,0.327306639754627,-4.4651351427085,"NOT"
"SEMA6D",0.869737106082744,8.08447346075889,1.86555093526743,0.0721345587617503,0.327306639754627,-4.5152763413317,"NOT"
"IL11",-1.3160558345198,6.80991005015693,-1.85199776102965,0.0741154064913213,0.327306639754627,-4.53738618336182,"NOT"
"MUC4",1.33743031838543,11.0545048112657,1.84379606424262,0.0753366820156088,0.327306639754627,-4.55070487407778,"NOT"
"SLIT2",-0.592697565069487,6.90786386684563,-1.83100924343329,0.0772751546011569,0.327306639754627,-4.57137705071731,"NOT"
"PDIA3",-0.278142503807889,13.3540456214406,-1.81451528288725,0.0798386100313051,0.327306639754627,-4.59787562167067,"NOT"
"PI15",-0.85074911969866,9.39350899342556,-1.81051932720297,0.0804704804293564,0.327306639754627,-4.60426696269381,"NOT"
"NTF3",0.60099641372967,7.0539062126751,1.80575527561185,0.0812293850485936,0.327306639754627,-4.61187230894163,"NOT"
"SEMA4B",0.500629482224985,10.9646360425404,1.77268277141529,0.0866679089448649,0.3392429578699,-4.66423141897393,"NOT"
"LCN15",-0.74789894668959,3.78424792857001,-1.73143864640427,0.0938804761812338,0.357267367689695,-4.72844407463779,"NOT"
"IL24",-0.865371118042862,8.03897223368506,-1.68327371112098,0.102937543324289,0.374432187643451,-4.8018862447023,"NOT"
"CSHL1",-0.819944419968441,3.84546537328765,-1.65128989032136,0.109347024404968,0.374432187643451,-4.84972180656842,"NOT"
"VAV2",-0.380351351572141,9.35386252909114,-1.63897926822995,0.111900960123638,0.374432187643451,-4.86793302035091,"NOT"
"IFNA14",-0.845966287295173,4.42145748080429,-1.63316927008965,0.113123370342051,0.374432187643451,-4.87648881275514,"NOT"
"MC4R",-0.386718874570888,6.01088356486199,-1.63113123421595,0.113554781535567,0.374432187643451,-4.87948408324811,"NOT"
"IKBKE",0.375682517065981,8.67443213010793,1.61875282420397,0.116204401132772,0.374432187643451,-4.89761004732791,"NOT"
"NR2F1",0.430847661394296,8.26297688656488,1.61268161602233,0.117522511450134,0.374432187643451,-4.90645846927887,"NOT"
"PDGFA",-0.398987121713937,9.1908092087568,-1.57425283360805,0.126154528139528,0.392799326252621,-4.96182419483308,"NOT"
"JAK1",-0.232122590393683,12.2824027041941,-1.54945844790895,0.131994763271108,0.398770110392592,-4.99695332587198,"NOT"
"TNFRSF13C",0.516844897544543,7.31404741801261,1.54158982047009,0.133893613708462,0.398770110392592,-5.008003738757,"NOT"
"CMTM3",-0.313083277820299,8.47172128844337,-1.49518586974975,0.14554781402696,0.411439097853757,-5.07220314685715,"NOT"
"FGFR4",0.785277994065191,5.52473262743158,1.49162957778406,0.146473697145833,0.411439097853757,-5.07705448248637,"NOT"
"SDC3",-0.704102226950336,6.63544047248224,-1.48901642301081,0.147157049597329,0.411439097853757,-5.08061295820123,"NOT"
"NDP",-0.517047084525942,5.17257589193549,-1.45750122410765,0.155601777331005,0.41577840002158,-5.12310869646544,"NOT"
"TAP1",-0.518271402498911,11.8354985686057,-1.44987522337174,0.15770231169185,0.41577840002158,-5.13327462081343,"NOT"
"SHC2",0.237547752994621,7.19221803286801,1.44467906911222,0.159146457665077,0.41577840002158,-5.14017514694225,"NOT"
"NRG2",-0.544806501760928,6.24666570709757,-1.43062195681816,0.163106061125831,0.41577840002158,-5.15873609736307,"NOT"
"THBS1",-0.557770514572118,11.0061007199741,-1.42789397641345,0.163883456942813,0.41577840002158,-5.16231997008879,"NOT"
"PSMC2",-0.276333601435118,13.108548150531,-1.40298887823021,0.171117097287207,0.424909721330934,-5.19476513534832,"NOT"
"GKN1",-0.606301922381727,3.18462105385396,-1.37813948334531,0.178582836023231,0.424909721330934,-5.22664326096989,"NOT"
"SPINK5",0.72118229664507,13.622518706611,1.35471443646283,0.185851747167419,0.424909721330934,-5.25623862595861,"NOT"
"ANGPTL2",-0.364876259912752,8.97134643291554,-1.3370270790043,0.191491092181539,0.424909721330934,-5.2782901539925,"NOT"
"CALCR",0.393572576361243,6.40594489122161,1.3268357180235,0.194800067917535,0.424909721330934,-5.2908803759845,"NOT"
"TFRC",0.372662312172389,13.6857894664629,1.32215408850342,0.196334831328122,0.424909721330934,-5.29663552151688,"NOT"
"SLC10A2",0.630453328394354,4.37330442988889,1.31905028893447,0.197357464491573,0.424909721330934,-5.30044114297589,"NOT"
"HRG",0.467595567370847,5.329191435224,1.3089308699809,0.200720070865,0.424909721330934,-5.31279386840574,"NOT"
"HLA-C",-0.301042173150062,14.191269279124,-1.3040891017808,0.20234442896783,0.424909721330934,-5.31867443952088,"NOT"
"TNFRSF18",0.284859064632449,8.04723738894229,1.29992692653039,0.203748827975444,0.424909721330934,-5.32371419151869,"NOT"
"KIR3DL1",-0.502015852409825,4.43012973467373,-1.29184903895859,0.206495738822001,0.424909721330934,-5.33345452180542,"NOT"
"TRAV39",-0.679824278458744,4.25572698907105,-1.28916039351916,0.207416267558525,0.424909721330934,-5.33668454961529,"NOT"
"NRAS",-0.18336189898867,11.7338259389765,-1.27813658716669,0.211223313128198,0.424909721330934,-5.34986559335634,"NOT"
"IFNK",-0.808086643416847,4.02967162334683,-1.27626433009016,0.211875139714655,0.424909721330934,-5.35209423302223,"NOT"
"GDF7",0.694392399754572,6.60300416408122,1.27017524864115,0.214005626071784,0.424909721330934,-5.35932225888486,"NOT"
"FGF9",0.625954118609706,5.47948404019105,1.24537808870138,0.222849816457535,0.436148926495461,-5.38843904409192,"NOT"
"LGR6",0.395901552385675,8.14885418429257,1.21821432795943,0.232850778948051,0.444099547446336,-5.41974449472401,"NOT"
"SOCS1",-0.296107684537784,8.3210739868146,-1.21126127402302,0.235463762688073,0.444099547446336,-5.42765798531805,"NOT"
"MET",-0.401768395272997,11.646744407392,-1.20815805192447,0.236636985135639,0.444099547446336,-5.43117670183995,"NOT"
"FGF8",0.550212898364095,3.50462332392519,1.19928767280778,0.240014531697991,0.444351227603038,-5.44118989013923,"NOT"
"TRAV26-2",0.417400198603087,4.96161467191389,1.18096041835135,0.247105870912596,0.450431980309435,-5.46166725992925,"NOT"
"TNFSF12",-0.485693894732632,4.32152327370316,-1.17390982544487,0.249874675208154,0.450431980309435,-5.46946903010114,"NOT"
"NR2F6",0.248699785421442,10.3342360210718,1.16118435139551,0.254929604043931,0.453576048753488,-5.48344307903714,"NOT"
"NR2F2",0.31205598198534,10.3029040831866,1.14683111992658,0.260720411758715,0.457932005268513,-5.49903855085049,"NOT"
"PTGDR",-0.301791150533432,5.60779998727004,-1.01929038224635,0.316398937909022,0.544377783425091,-5.62979013160155,"NOT"
"HLA-E",-0.209794821296539,13.8872454736634,-1.0161112532418,0.317884837036549,0.544377783425091,-5.63286753080994,"NOT"
"BLNK",0.410186872654874,11.3654978492478,0.999514594703844,0.32571999186259,0.550909122039195,-5.64878798210816,"NOT"
"NR0B1",0.473507860614821,6.00300800247695,0.988565560721098,0.330960689131953,0.552946517208262,-5.65915726189369,"NOT"
"DEFB126",0.446678967882466,5.3415408756848,0.936834048266116,0.35649376091816,0.588429460792625,-5.70670467032131,"NOT"
"DEFA4",-0.38474807531397,4.9397836768799,-0.895246041338884,0.377943524590119,0.611001354887062,-5.74318733349418,"NOT"
"FGF12",0.482086450038774,5.18196195482052,0.890589591477865,0.380396255246537,0.611001354887062,-5.74717489701021,"NOT"
"BMP10",-0.449375445561037,4.90373976711455,-0.884633912782162,0.383548295768521,0.611001354887062,-5.75224641646694,"NOT"
"DEFB129",-0.446570308096034,3.11634783049495,-0.870180358960619,0.39126753417444,0.616133933125267,-5.76442035306683,"NOT"
"PSMD11",0.200048333316015,11.8625931581345,0.855306199083284,0.399314235022222,0.61665098775269,-5.77675012181418,"NOT"
"MC1R",0.2592315747638,6.63570464604095,0.852950667653523,0.400598086934229,0.61665098775269,-5.77868421542184,"NOT"
"NTF4",-0.24955626451744,8.00547544663264,-0.842358666141408,0.40640329626588,0.618636128760284,-5.78731854683795,"NOT"
"CDH1",0.123800977083837,14.1137668301848,0.824111491088339,0.416527223564481,0.627079446465208,-5.80195247987445,"NOT"
"NR1I3",-0.283849501884734,3.42009480909269,-0.776122029344302,0.443890265370339,0.6610105038667,-5.83897874322131,"NOT"
"DDX58",-0.228880289101403,10.2373629869837,-0.766355837370107,0.449588437775414,0.662296945970234,-5.84625355824969,"NOT"
"SERPINA3",-0.612731060362318,8.04558433989461,-0.706287024768639,0.485582283350974,0.707710349139185,-5.88905039867127,"NOT"
"OSM",-0.402888418244819,5.56269861448328,-0.693372288738652,0.493530238859476,0.711722554986823,-5.89781201408436,"NOT"
"AGT",0.198296000945847,7.15147836356968,0.683337563307077,0.49975603640072,0.713193510280194,-5.90451189963614,"NOT"
"FABP3",-0.218871721010736,5.65818596217998,-0.668498249579486,0.509042550520392,0.713464169472405,-5.91424644491431,"NOT"
"IRF5",-0.218577044333051,7.80976747737653,-0.666403253969806,0.510361230717487,0.713464169472405,-5.91560408507839,"NOT"
